"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0307Rf_20110909_1151","20110909_1151","RuBsAdDlb3Mxtshcn20210211",2891.09,2982.24,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110909_1151_cnt.png"
"RC0307Rf_20110910_0751","20110910_0751","RuBsAdDlb3Mxtshcn20210211",2799.92,2838.21,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110910_0751_cnt.png"
"RC0307Rf_20110910_0951","20110910_0951","RuBsAdDlb3Mxtshcn20210211",2929.33,2973.08,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110910_0951_cnt.png"
"RC0307Rf_20110910_1151","20110910_1151","RuBsAdDlb3Mxtshcn20210211",2942.11,3033.26,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110910_1151_cnt.png"
"RC0307Rf_20110910_1351","20110910_1351","RuBsAdDlb3Mxtshcn20210211",2942.12,3033.27,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110910_1351_cnt.png"
"RC0307Rf_20110910_1551","20110910_1551","RuBsAdDlb3Mxtshcn20210211",2428.07,2557.49,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110910_1551_cnt.png"
"RC0307Rf_20110911_0751","20110911_0751","RuBsAdDlb3Mxtshcn20210211",2951.21,3004.08,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110911_0751_cnt.png"
"RC0307Rf_20110911_0951","20110911_0951","RuBsAdDlb3Mxtshcn20210211",2892.9,2940.29,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110911_0951_cnt.png"
"RC0307Rf_20110911_1151","20110911_1151","RuBsAdDlb3Mxtshcn20210211",2947.59,3042.38,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110911_1151_cnt.png"
"RC0307Rf_20110911_1351","20110911_1351","RuBsAdDlb3Mxtshcn20210211",2942.11,3009.57,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110911_1351_cnt.png"
"RC0307Rf_20110911_1551","20110911_1551","RuBsAdDlb3Mxtshcn20210211",2978.57,3066.07,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110911_1551_cnt.png"
"RC0307Rf_20110912_0751","20110912_0751","RuBsAdDlb3Mxtshcn20210211",2896.54,2963.99,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110912_0751_cnt.png"
"RC0307Rf_20110912_0951","20110912_0951","RuBsAdDlb3Mxtshcn20210211",2914.77,2993.15,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110912_0951_cnt.png"
"RC0307Rf_20110912_1151","20110912_1151","RuBsAdDlb3Mxtshcn20210211",2916.6,3009.57,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110912_1151_cnt.png"
"RC0307Rf_20110912_1351","20110912_1351","RuBsAdDlb3Mxtshcn20210211",2918.43,2996.82,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110912_1351_cnt.png"
"RC0307Rf_20110912_1551","20110912_1551","RuBsAdDlb3Mxtshcn20210211",2761.64,2889.25,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110912_1551_cnt.png"
"RC0307Rf_20110913_0751","20110913_0751","RuBsAdDlb3Mxtshcn20210211",3029.63,3133.54,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110913_0751_cnt.png"
"RC0307Rf_20110913_0951","20110913_0951","RuBsAdDlb3Mxtshcn20210211",2681.45,2752.53,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110913_0951_cnt.png"
"RC0307Rf_20110913_1151","20110913_1151","RuBsAdDlb3Mxtshcn20210211",2850.99,2936.66,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110913_1151_cnt.png"
"RC0307Rf_20110913_1351","20110913_1351","RuBsAdDlb3Mxtshcn20210211",2754.37,2863.74,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110913_1351_cnt.png"
"RC0307Rf_20110914_0751","20110914_0751","RuBsAdDlb3Mxtshcn20210211",2830.91,2872.84,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110914_0751_cnt.png"
"RC0307Rf_20110914_0951","20110914_0951","RuBsAdDlb3Mxtshcn20210211",2688.73,2750.71,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110914_0951_cnt.png"
"RC0307Rf_20110914_1151","20110914_1151","RuBsAdDlb3Mxtshcn20210211",2708.8,2763.48,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110914_1151_cnt.png"
"RC0307Rf_20110914_1351","20110914_1351","RuBsAdDlb3Mxtshcn20210211",2648.65,2712.45,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110914_1351_cnt.png"
"RC0307Rf_20110914_1551","20110914_1551","RuBsAdDlb3Mxtshcn20210211",2701.52,2754.38,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110914_1551_cnt.png"
"RC0307Rf_20110915_0751","20110915_0751","RuBsAdDlb3Mxtshcn20210211",2672.36,2761.67,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110915_0751_cnt.png"
"RC0307Rf_20110915_1151","20110915_1151","RuBsAdDlb3Mxtshcn20210211",2652.29,2712.46,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110915_1151_cnt.png"
"RC0307Rf_20110915_1351","20110915_1351","RuBsAdDlb3Mxtshcn20210211",2575.73,2655.94,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110915_1351_cnt.png"
"RC0307Rf_20110916_0751","20110916_0751","RuBsAdDlb3Mxtshcn20210211",2528.32,2564.78,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110916_0751_cnt.png"
"RC0307Rf_20110916_0951","20110916_0951","RuBsAdDlb3Mxtshcn20210211",2457.23,2530.15,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110916_0951_cnt.png"
"RC0307Rf_20110916_1151","20110916_1151","RuBsAdDlb3Mxtshcn20210211",2537.45,2624.95,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110916_1151_cnt.png"
"RC0307Rf_20110916_1351","20110916_1351","RuBsAdDlb3Mxtshcn20210211",2471.83,2568.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110916_1351_cnt.png"
"RC0307Rf_20110916_1551","20110916_1551","RuBsAdDlb3Mxtshcn20210211",2028.88,2087.21,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110916_1551_cnt.png"
"RC0307Rf_20110917_0751","20110917_0751","RuBsAdDlb3Mxtshcn20210211",2533.79,2570.25,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110917_0751_cnt.png"
"RC0307Rf_20110917_0951","20110917_0951","RuBsAdDlb3Mxtshcn20210211",2522.86,2603.06,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110917_0951_cnt.png"
"RC0307Rf_20110917_1151","20110917_1151","RuBsAdDlb3Mxtshcn20210211",2497.35,2562.98,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110917_1151_cnt.png"
"RC0307Rf_20110917_1351","20110917_1351","RuBsAdDlb3Mxtshcn20210211",2402.57,2484.6,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110917_1351_cnt.png"
